Unique-id,namea_x,OffTask,Avgright,Avgbug,Avghelp,Avgchoice,Avgstring,Avgnumber,Avgpoint,Avgpchange,Avgtime,AvgtimeSDnormed,Avgtimelast3SDnormed,Avgtimelast5SDnormed,Avgnotright,Avghowmanywrong-up,Avghelppct-up,Avgwrongpct-up,Avgtimeperact-up,AvgPrev3Count-up,AvgPrev5Count-up,Avgrecent8help,Avg recent5wrong,Avgmanywrong-up,AvgasymptoteA-up,AvgasymptoteB-up,avgTimeCorrectAction,percentageRecent5Wrong,timePerActionChange,efficiencyScore,changeInKnowledge,avgBugVsAvgRight,totalWrongActions,avgActionDuration,recentCorrectnessChange,help,Pknow-2,pknow-1,time
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-1,stuZgy46jl,N,1.0,0.0,0,0,0,0,0,0.0,12.0,0.446098082,0.288201388,0.454262104,0.0,0.0,0,0.0,12.0,0.0,0.0,0,1.0,0.0,0,0,12.0,0.2,0.0,inf,,-1.0,0.0,6.223049041,,0,0.888286674,0.888286674,12
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-1,stuZgy46jl,N,1.0,0.0,0,0,0,0,0,0.0,12.0,0.446098082,0.288201388,0.454262104,0.0,0.0,0,0.0,12.0,0.0,0.0,0,1.0,0.0,0,0,12.0,0.2,0.0,inf,0.0,-1.0,0.0,6.223049041,0.0,0,0.888286674,0.888286674,12
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-12,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,7.5,-0.260955636,-0.774505753,0.0,0.0,0.0,0,0.0,8.75,0.0,0.0,0,0.0,0.0,0,0,7.5,0.0,-1.25,-inf,0.10017763299999993,-1.0,0.0,3.619522182,1.0,0,0.988464307,0.988464307,8
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-12,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,7.5,-0.260955636,-0.774505753,0.0,0.0,0.0,0,0.0,8.75,0.0,0.0,0,0.0,0.0,0,0,7.5,0.0,-1.25,-inf,-0.10017763299999993,-1.0,0.0,3.619522182,0.0,0,0.888286674,0.888286674,7
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,25.33333333,0.2,-0.75,inf,0.09141941999999992,-1.0,0.0,12.8174538115,-1.0,0,0.979706094,0.979706094,2
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,25.33333333,0.2,-0.75,inf,-0.09141941999999992,-1.0,0.0,12.8174538115,0.0,0,0.888286674,0.888286674,2
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,25.33333333,0.2,-0.75,inf,0.0,-1.0,0.0,12.8174538115,0.0,0,0.888286674,0.888286674,72
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,4.20000000168,0.0,-1.402777778,-inf,0.10017763299999993,-0.833333333,0.0,1.4725780505000001,1.0,0,0.988464307,0.988464307,5
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,4.20000000168,0.0,-1.402777778,-inf,0.0,-0.833333333,0.0,1.4725780505000001,0.0,0,0.988464307,0.988464307,1
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,4.20000000168,0.0,-1.402777778,-inf,0.010452035999999998,-0.833333333,0.0,1.4725780505000001,0.0,0,0.998916343,0.998916343,5
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,4.20000000168,0.0,-1.402777778,-inf,0.0,-0.833333333,0.0,1.4725780505000001,0.0,0,0.998916343,0.998916343,6
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,4.20000000168,0.0,-1.402777778,-inf,0.000982809000000029,-0.833333333,0.0,1.4725780505000001,0.0,0,0.999899152,0.999899152,1
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,4.20000000168,0.0,-1.402777778,-inf,-0.264746103,-0.833333333,0.0,1.4725780505000001,0.0,0,0.735153049,0.735153049,3
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1.0,0.0,0,0,0,0,0,0.0,5.25,-0.525769705,-1.829774821,-2.621184431,0.0,0.0,0,0.0,5.875,0.0,0.0,0,0.0,0.0,0,0,5.25,0.0,-0.625,-inf,0.15313362500000005,-1.0,0.0,2.3621151475,0.0,0,0.888286674,0.888286674,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1.0,0.0,0,0,0,0,0,0.0,5.25,-0.525769705,-1.829774821,-2.621184431,0.0,0.0,0,0.0,5.875,0.0,0.0,0,0.0,0.0,0,0,5.25,0.0,-0.625,-inf,0.10017763299999993,-1.0,0.0,2.3621151475,0.0,0,0.988464307,0.988464307,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1.0,0.0,0,0,0,0,0,0.0,5.25,-0.525769705,-1.829774821,-2.621184431,0.0,0.0,0,0.0,5.875,0.0,0.0,0,0.0,0.0,0,0,5.25,0.0,-0.625,-inf,-0.10017763299999993,-1.0,0.0,2.3621151475,0.0,0,0.888286674,0.888286674,13
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1.0,0.0,0,0,0,0,0,0.0,5.25,-0.525769705,-1.829774821,-2.621184431,0.0,0.0,0,0.0,5.875,0.0,0.0,0,0.0,0.0,0,0,5.25,0.0,-0.625,-inf,0.10017763299999993,-1.0,0.0,2.3621151475,0.0,0,0.988464307,0.988464307,8
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-21,stuZgy46jl,N,0.5,0.0,0,0,0,0,0,0.0,13.0,0.177151243,-0.037686273,-1.197378843,0.5,0.5,0,0.5,14.5,0.0,0.0,0,0.0,0.0,0,0,26.0,0.0,-1.5,inf,0.0,-0.5,0.0,6.5885756215,0.0,0,0.988464307,0.988464307,7
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-21,stuZgy46jl,N,0.5,0.0,0,0,0,0,0,0.0,13.0,0.177151243,-0.037686273,-1.197378843,0.5,0.5,0,0.5,14.5,0.0,0.0,0,0.0,0.0,0,0,26.0,0.0,-1.5,inf,-0.702365987,-0.5,0.0,6.5885756215,0.0,0,0.28609832,0.28609832,19
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-22,stuZxoxmpe,N,0.0,0.0,0,0,0,0,0,1.0,34.0,2.476222826,1.084494213,-0.021619918,1.0,37.0,0,27.0,6.75,2.0,4.0,0,3.0,1.0,0,0,inf,0.6,27.25,0.0,0.449054729,0.0,27.0,18.238111413,-3.0,0,0.735153049,-1.0,34
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,5.2,0.0,-0.09999999999999964,-inf,1.999990623,-1.0,0.0,2.4177383745000003,3.0,0,0.999990623,0.999990623,7
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,5.2,0.0,-0.09999999999999964,-inf,0.0,-1.0,0.0,2.4177383745000003,0.0,0,0.999990623,0.999990623,8
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,5.2,0.0,-0.09999999999999964,-inf,-0.001074279999999983,-1.0,0.0,2.4177383745000003,0.0,0,0.998916343,0.998916343,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,5.2,0.0,-0.09999999999999964,-inf,0.000982809000000029,-1.0,0.0,2.4177383745000003,0.0,0,0.999899152,0.999899152,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,5.2,0.0,-0.09999999999999964,-inf,-0.011434845000000027,-1.0,0.0,2.4177383745000003,0.0,0,0.988464307,0.988464307,11
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-26,stuZbsj5kw,N,1.0,0.0,0,0,0,0,0,0.5,16.5,1.680667935,1.756871137,1.838995703,0.0,0.5,0,0.0,9.25,0.5,0.5,0,1.0,0.0,0,0,16.5,0.2,7.25,3.36133587,0.011434845000000027,-1.0,0.0,9.0903339675,-1.0,0,0.999899152,0.999899152,4
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-26,stuZbsj5kw,N,1.0,0.0,0,0,0,0,0,0.5,16.5,1.680667935,1.756871137,1.838995703,0.0,0.5,0,0.0,9.25,0.5,0.5,0,1.0,0.0,0,0,16.5,0.2,7.25,3.36133587,-0.11161247799999996,-1.0,0.0,9.0903339675,0.0,0,0.888286674,-1.0,29
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-27,stuZkagkh6,N,1.0,0.0,0,0,0,0,0,0.0,9.0,-0.210558033,-1.152812621,-1.879696446,0.0,0.0,0,0.0,12.0,0.0,0.0,0,0.0,0.0,0,0,9.0,0.0,-3.0,-inf,1.988464307,-1.0,0.0,4.3947209835,1.0,0,0.988464307,0.988464307,9
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-3,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,1.0,15.0,-0.039648652,-0.785438503,-1.464871936,0.0,1.0,0,0.0,15.0,1.0,1.0,0,1.0,0.0,0,0,15.0,0.2,0.0,-0.039648652,-0.702365987,-1.0,0.0,7.480175674,-1.0,0,0.28609832,-1.0,15
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-30,stuZt7rs3h,N,0.8,0.0,0,0,0,0,0,0.4,3.4,-0.528733346,-0.050998655,0.562013133,0.2,0.8,0,0.0,10.61666667,0.6,0.6,0,0.0,0.0,0,0,4.25,0.0,-7.21666667,-1.057466692,1.735153049,-0.8,0.0,1.435633327,1.0,0,0.735153049,-1.0,1
